VIN (1-10),County,City,State,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,DOL Vehicle ID
3FA6P0PUXH,Skagit,Mount Vernon,WA,2017,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,235694462
KM8KN4AE7N,Whatcom,Blaine,WA,2022,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,217051068
KNDRMDLH2N,King,Seattle,WA,2022,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,193742272
5YJ3E1EA0M,Snohomish,Lynnwood,WA,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,152465638
5YJSA1E20J,Spokane,Spokane,WA,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,124506700
KNDCM3LD4N,Thurston,Olympia,WA,2022,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,186014167
7SAYGDEE0N,King,Seattle,WA,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,211479649
2C4RC1N74M,King,Auburn,WA,2021,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,141878859
LPSED3KA9N,King,Seattle,WA,2022,POLESTAR,PS2,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,207987608
5YJYGDEE8L,Clark,Camas,WA,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,118127075
1N4AZ1CV3N,King,Woodinville,WA,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,185366758
1G1RD6E44D,King,Seattle,WA,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,108657965
7SAYGDEE2N,Snohomish,Everett,WA,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,186228731
5YJSA1E21K,Skagit,Anacortes,WA,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,270,237757754
3C3CFFGE5D,King,Seattle,WA,2013,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,157959826
50EA1GBA6N,Benton,Richland,WA,2022,LUCID MOTORS,LUCID AIR,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,227316610
JTDKARFPXK,Thurston,Olympia,WA,2019,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,477363400
5YJSA1E28J,King,Enumclaw,WA,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,477060496
1G1RA6E42E,King,North Bend,WA,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,264988468
5YJSA1E29J,Kitsap,Bainbridge Island,WA,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,112582634
5YJ3E1EBXJ,King,Sammamish,WA,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,258258514
KNDCE3LG5K,King,Seattle,WA,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,207367863
5LMTJ5DZ5N,Pierce,Tacoma,WA,2022,LINCOLN,CORSAIR,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,28,187484321
1G1RA6S58K,Thurston,Olympia,WA,2019,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,186668177
7SAYGDEF5N,King,Maple Valley,WA,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,195382162
1N4AZ1CP8L,King,Sammamish,WA,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,149,121857914
5UXKT0C31H,Snohomish,Marysville,WA,2017,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,137056265
1G1RH6E45D,King,Seattle,WA,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,182694746
7SAYGDEE8N,King,Redmond,WA,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,203575613
1N4AZ0CP1E,Kitsap,Bainbridge Island,WA,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,109252251
7SAYGDEFXN,Clark,Camas,WA,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,196354735
1G1FX6S09H,King,Seattle,WA,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,5984394
JN1AZ0CP7B,King,Seattle,WA,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,3548457
5YJSA1E22K,King,Seattle,WA,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,270,478509020
JA4J24A50K,Pierce,Tacoma,WA,2019,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,477476870
3FA6P0SU5F,Grant,Electric City,WA,2015,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,194400587
5YJYGDEE0M,King,Kenmore,WA,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,157550368
WBY1Z4C56F,Whatcom,Bellingham,WA,2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,476437356
YV4H60CL2N,King,Seattle,WA,2022,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,208558094
1N4AZ1CV8M,Snohomish,Bothell,WA,2021,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,150155869
1G1RB6E40D,King,Bothell,WA,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,474218573
5YJ3E1EA1L,King,Vashon,WA,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,6267691
KNDJX3AE5G,King,Kirkland,WA,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,211688172
WP0AB2Y1XM,King,Bellevue,WA,2021,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,203,169387564
KNDCC3LD2K,Snohomish,Edmonds,WA,2019,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,113182177
7SAYGDEE1N,King,Renton,WA,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,205650014
1N4CZ1CV1P,Snohomish,Bothell,WA,2023,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,220498211
KNDC3DLC1N,King,Kent,WA,2022,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,211191921
5YJ3E1EC3N,Snohomish,Bothell,WA,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,215153088
WBY1Z4C59F,Pierce,Gig Harbor,WA,2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,242624497
KNDCC3LG5L,Pierce,Sumner,WA,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,172479100
5YJSA1E25J,King,Bellevue,WA,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,124758476
5YJ3E1EB2N,Pierce,Fife,WA,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,187330685
5YJSA1E28J,King,Sammamish,WA,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,202815084
5YJ3E1EB5N,Whatcom,Bellingham,WA,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,195120264
5YJYGAEE9M,Jefferson,Chimacum,WA,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,156454343
5YJ3E1EBXM,Snohomish,Lynnwood,WA,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,161551050
1G1FW6S09N,Klickitat,White Salmon,WA,2022,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,171386897
1G1RB6E44D,Skagit,Mount Vernon,WA,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,476841879
1N4AZ0CP5D,King,Bellevue,WA,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,245368350
1N4BZ1CV9N,Island,Camano Island,WA,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,175631781
5YJ3E1EC3N,King,Seattle,WA,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,204773831
KM8K53AG6N,King,Seattle,WA,2022,HYUNDAI,KONA ELECTRIC,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,171034874
5YJ3E1EB3J,King,Auburn,WA,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,232662251
JN1AZ0CP0B,King,Seattle,WA,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,260360551
1N4AZ0CP6D,King,Bellevue,WA,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,166269484
5YJ3E1EC9P,Walla Walla,Burbank,WA,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,219727413
5YJ3E1EB8J,King,Seattle,WA,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,474120552
5YJ3E1EBXJ,King,Issaquah,WA,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,474887486
JHMZC5F37L,Snohomish,Bothell,WA,2020,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,122636412
5YJ3E1EA8L,King,Woodinville,WA,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,104575600
5YJYGDEF7M,King,Bellevue,WA,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,176434331
7SAYGDEE7N,Pierce,Gig Harbor,WA,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,207350020
5YJSA1H2XF,King,Bellevue,WA,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,243802961
1N4BZ1CP3K,King,Seattle,WA,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,101400680
5YJ3E1EB2K,King,Kenmore,WA,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,476790002
5YJXCAE21L,Snohomish,Marysville,WA,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,293,127276558
WBY1Z8C58H,Clark,Vancouver,WA,2017,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97,211873161
5YJ3E1EA8N,King,Seattle,WA,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,207108191
5YJ3E1EA6L,King,Renton,WA,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,138217943
5YJ3E1EA9M,King,Fall City,WA,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,179304744
5YJ3E1EA0J,King,Sammamish,WA,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,282551860
WAUUPBFF5H,Pierce,Lakebay,WA,2017,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,206000763
WMWXP3C0XM,King,Shoreline,WA,2021,MINI,HARDTOP,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,110,150342881
1G1FW6S06J,Thurston,Olympia,WA,2018,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,118154998
JTDKARFP9J,Pierce,Auburn,WA,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,476020849
7SAYGDEE4N,King,Redmond,WA,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,220592515
5UXTA6C03M,King,Clyde Hill,WA,2021,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,152588943
7SAYGAEEXN,King,Woodinville,WA,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,218896520
JN1AZ0CP5B,King,Seattle,WA,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,101467698
5YJ3E1EB7M,Snohomish,Lynnwood,WA,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,161065285
7SAYGDEE2N,Grant,Quincy,WA,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,209307066
JA4J24A55K,Thurston,Olympia,WA,2019,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,124459044
7FCTGAAA0N,King,Seattle,WA,2022,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,217413164
JTMEB3FV8N,Kitsap,Bainbridge Island,WA,2022,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,210022431
1G1RD6S5XH,King,Bellevue,WA,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,156715667
5YJSA1H18E,King,Redmond,WA,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,143990759
1G1RD6E4XD,King,Seattle,WA,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,221539363
1FT6W1EV0N,Pierce,Lakewood,WA,2022,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,214805202
1N4AZ0CP8F,King,Bellevue,WA,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,241294630
2C4RC1S79M,Pierce,South Hill,WA,2021,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,171225785
5YJYGDEF4M,King,Sammamish,WA,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,166151093
5YJ3E1EB8J,King,Bellevue,WA,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,475706451
5YJ3E1EB7K,Stevens,Colville,WA,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,278862286
5YJ3E1EB5K,King,Bellevue,WA,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,114521081
JTDKN3DP6C,King,Seattle,WA,2012,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,127083743
7SAYGDEEXN,Snohomish,Snohomish,WA,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,195797913
7SAYGDEE4N,King,Bothell,WA,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,219916588
7SAYGAEE9N,King,Seattle,WA,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,216937703
5YJ3E1EB2M,Pierce,Gig Harbor,WA,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,208453283
1N4BZ0CP0H,Whatcom,Ferndale,WA,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,189371381
5YJ3E1EB5L,Douglas,Omaha,NE,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,105044733
JHMZC5F39J,King,Seattle,WA,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,283945000
2C4RC1N74J,Clark,Vancouver,WA,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,215051000
1G6RL1E43G,King,Seattle,WA,2016,CADILLAC,ELR,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,40,207698221
5YJYGDED7M,King,Kent,WA,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,147947453
KNDC4DLC5N,Snohomish,Snohomish,WA,2022,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,207267315
5YJYGDEF3M,Thurston,Olympia,WA,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,205913403
5YJ3E1EB8J,King,Fall City,WA,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,118169502
5YJ3E1EB7N,Thurston,Olympia,WA,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,217943533
WVGRMPE23N,Kitsap,Port Orchard,WA,2022,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,220362278
1N4AZ0CP2D,Clark,Vancouver,WA,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,148649063
5YJ3E1EB8J,Franklin,Pasco,WA,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,172761991
JTDKARFPXH,Kitsap,Port Orchard,WA,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,199512323
3C3CFFGE2F,King,Seattle,WA,2015,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,341690625
1N4AZ1CV9N,King,Tukwila,WA,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,182511087
1FT6W1EV0N,King,Covington,WA,2022,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,223995306
5YJYGDEF8M,King,Seattle,WA,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,179628753
1N4AZ0CP2F,King,Seattle,WA,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,208823744
1G1FZ6S01L,Pierce,Gig Harbor,WA,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,102676997
1N4BZ0CP1H,King,Seattle,WA,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,349941525
5YJ3E1EB5N,Pierce,Spanaway,WA,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,195833613
1G1RA6S5XH,King,Seattle,WA,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,164876575
5YJYGAEE9M,Snohomish,Monroe,WA,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,185001085
5YJSA1E46G,King,Bellevue,WA,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,120910422
1N4AZ1BV7N,Jefferson,Port Townsend,WA,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,205484184
1FTVW1EV7N,Clark,Vancouver,WA,2022,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,221367604
5YJYGDEF3M,Whatcom,Lynden,WA,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,176246528
1N4AZ1CP9J,King,Kirkland,WA,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,117001293
5YJ3E1EA5L,Pierce,Tacoma,WA,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,113152721
5YJ3E1EB8L,King,Seattle,WA,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,127199747
KM8K23AG8K,Clark,Camas,WA,2019,HYUNDAI,KONA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,258,262015323
1G1FY6S03M,Pierce,Tacoma,WA,2021,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,161675748
7SAYGDEE6N,King,Bellevue,WA,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,183146729
1G1FW6S01H,Thurston,Olympia,WA,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,241900704
1G1FY6S07L,Whatcom,Bellingham,WA,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,131456993
5YJ3E1EA9K,Yakima,Yakima,WA,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,218985014
YV4ED3UR8M,Clark,Vancouver,WA,2021,VOLVO,XC40,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,195250289
1G1FW6S06H,King,Bothell,WA,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,207256668
1N4BZ1CV1N,King,Seattle,WA,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,194866556
7SAYGDEE3N,King,Kirkland,WA,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,187052848
2C4RC1H70J,King,Kirkland,WA,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,205426392
KL8CL6S05G,King,Kirkland,WA,2016,CHEVROLET,SPARK,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,82,9692476
5YJXCBE2XJ,King,Mercer Island,WA,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,337287135
1G1RA6S53H,Kitsap,Port Orchard,WA,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,27702
5YJXCBE45K,Pierce,Lakewood,WA,2019,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,285304554
7SAYGDEE0N,King,Redmond,WA,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,205822242
5YJ3E1EC7L,King,Bellevue,WA,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308,8950336
1G1FX6S03H,King,Seattle,WA,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,307494988
5YJ3E1EA3K,Kitsap,Bainbridge Island,WA,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,196469654
5YJ3E1EA7N,King,Bellevue,WA,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,219173678
KNAGV4LD5J,Whatcom,Bellingham,WA,2018,KIA,OPTIMA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,29,313638727
WAUUPBFF1H,Snohomish,Mill Creek,WA,2017,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,195237787
5YJ3E1EB0J,King,Bellevue,WA,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,473914108
5YJ3E1EA9K,Snohomish,Mill Creek,WA,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,332504784
3FA6P0PU5H,King,Seattle,WA,2017,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,109015987
1N4BZ0CP2G,King,Renton,WA,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,8180273
3FA6P0PU7H,Stevens,Nine Mile Falls,WA,2017,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,198316303
1N4AZ1CP6J,King,Kirkland,WA,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,342356794
5YJ3E1EB8J,Benton,Richland,WA,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,213595714
5YJ3E1EA5M,King,Duvall,WA,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,175326245
